25097;1;5758;.u;7;0;3;1;2;3;;2300;1;0;0;1;0;0;;2;;1;;1;Smed selvstændig;B;;3;1;;1;10;1;13;2;B;3;1;2;5;1;1;1;B;B;B;B;1;B;B;B;B;B;B;B;;B;B;B;B;1;B;B;B;B;B;;B;B;B;B;4;1;B
25097;2;5758;.u;169;0;4;2;2;3;;2300;0;0;1;0;0;0;;1;0;B;;1;;B;;1;4;;2;B;2;B;2;B;1;1;1;1;1;1;1;B;B;B;B;1;B;B;B;B;B;B;B;;B;B;B;B;1;B;B;B;B;B;;B;B;B;B;4;1;B
25097;3;5758;.z;7;0;5;2;2;3;;2300;0;1;0;0;0;0;;1;Regnskabschef;B;;1;Arbejder i et fængsel;B;;1;2;;1;12;1;12;2;B;1;2;1;4;2;1;1;B;B;B;B;1;B;B;B;B;B;B;B;;B;B;B;B;2;0;0;0;0;1;Mine venner til min konfirmation;0;1;0;0;4;1;B
25097;4;5758;668;109;0;6;1;2;2;;2300;0;0;1;1;0;0;;1;Social og sundhedshjælper;B;;1;Chauffør;B;;1;1;;2;B;2;B;2;B;1;1;1;1;1;1;1;B;B;B;B;1;B;B;B;B;B;B;B;;B;B;B;B;1;B;B;B;B;B;;B;B;B;B;4;1;B
25097;5;5758;648;43;0;7;2;2;3;;2400;0;1;0;0;0;0;;1;Musiklærer;B;;1;Kunstmaler;B;;2;A;;1;13;2;B;2;B;1;2;1;1;3;1;2;0;0;1;0;1;B;B;B;B;B;B;B;;B;B;B;B;1;B;B;B;B;B;;B;B;B;B;4;1;B
25097;6;5758;516;103;0;8;1;2;3;;2700;1;0;0;0;0;0;;1;Skolelærer;B;;1;Service og montage chef;B;;1;2;;1;13;2;B;2;B;1;1;3;1;1;1;1;B;B;B;B;1;B;B;B;B;B;B;B;;B;B;B;B;1;B;B;B;B;B;;B;B;B;B;4;1;B
25097;7;5758;500;7;0;9;2;3;3;;2400;0;0;1;0;0;0;;2;;3;;1;Ejendomsfunktionær;B;;2;2;;1;12;1;12;2;B;1;1;2;4;2;2;1;B;B;B;B;2;A;A;A;A;A;A;A;;A;A;A;A;2;0;0;0;0;1;Min venindes forældre;0;1;0;0;4;1;B
25097;8;5758;611;175;0;11;2;2;3;;2200;1;0;0;0;0;0;;2;;1;;1;Taxachauffør;B;;2;4;;2;B;2;B;2;B;1;1;1;1;1;1;1;B;B;B;B;1;B;B;B;B;B;B;B;;B;B;B;B;1;B;B;B;B;B;;B;B;B;B;4;1;B
25097;9;5758;597;127;0;12;1;2;1;;2400;1;0;0;1;1;0;;2;;A;;2;;A;;2;4;;2;B;2;B;2;B;1;1;1;1;1;1;1;B;B;B;B;1;B;B;B;B;B;B;B;;B;B;B;B;1;B;B;B;B;B;;B;B;B;B;4;1;B
25097;10;5758;687;1;0;16;1;2;3;;2300;0;0;1;0;0;0;;1;Hun arbjeder i Telia, ringer ud til kunder;B;;1;VVS mand;B;;2;5;;1;11;1;13;1;13;4;2;1;1;7;5;3;0;0;1;1;2;0;0;1;0;0;0;0;;0;0;1;1;2;1;0;0;0;0;;0;0;1;0;4;2;1
